d2,v2,d1,v1,m,n,var_block,var_inter
0.18175187807532384,0.025104537168303506,0.18175187807532384,0.025506329113924052,2,10,0,0
0.15093858918665268,0.025072096385144484,0.15093858918665268,0.025506329113924052,2,10,0,0
-0.24534088099923385,0.025190481480662913,-0.24534088099923385,0.025506329113924052,2,10,0,0
0.7799841452217949,0.02692523818606764,0.7799841452217949,0.025506329113924052,2,10,0,0
0.6279510061637036,0.026247855905512683,0.6279510061637036,0.025506329113924052,2,10,0,0
-0.047117213511029585,0.02500702541711723,-0.047117213511029585,0.025506329113924052,2,10,0,0
0.6572661152466396,0.026367084640036106,0.6572661152466396,0.025506329113924052,2,10,0,0
0.7964225039514772,0.027007243053165635,0.7964225039514772,0.025506329113924052,2,10,0,0
0.42939318951736355,0.02558347630127815,0.42939318951736355,0.025506329113924052,2,10,0,0
-0.23203894183590942,0.02517038629914028,-0.23203894183590942,0.025506329113924052,2,10,0,0
0.29939993372812895,0.02528367189973547,0.29939993372812895,0.025506329113924052,2,10,0,0
0.6166847160174136,0.026203481135979364,0.6166847160174136,0.025506329113924052,2,10,0,0
-0.01596529306446439,0.025000806615767833,-0.01596529306446439,0.025506329113924052,2,10,0,0
0.35112829516960814,0.025390161644521254,0.35112829516960814,0.025506329113924052,2,10,0,0
0.6528855745635544,0.026348922700864502,0.6528855745635544,0.025506329113924052,2,10,0,0
0.421475347188503,0.025562156545214144,0.421475347188503,0.025506329113924052,2,10,0,0
0.17243256118183936,0.02509409173467003,0.17243256118183936,0.025506329113924052,2,10,0,0
0.6701938302211728,0.02642139167742572,0.6701938302211728,0.025506329113924052,2,10,0,0
0.14266189113584768,0.025064406377159672,0.14266189113584768,0.025506329113924052,2,10,0,0
0.4342719096044924,0.025596810416049155,0.4342719096044924,0.025506329113924052,2,10,0,0
0.3321930279957042,0.025349215847623275,0.3321930279957042,0.025506329113924052,2,10,0,0
0.42798096997811774,0.025579644653998136,0.42798096997811774,0.025506329113924052,2,10,0,0
0.3284769153220333,0.025341446468036325,0.3284769153220333,0.025506329113924052,2,10,0,0
0.5405512521372368,0.025924669798060553,0.5405512521372368,0.025506329113924052,2,10,0,0
0.5740134496223266,0.02604269443147887,0.5740134496223266,0.025506329113924052,2,10,0,0
0.42614018298557166,0.025574669163148663,0.42614018298557166,0.025506329113924052,2,10,0,0
0.6328129179419182,0.02626725376301951,0.6328129179419182,0.025506329113924052,2,10,0,0
0.10605174194627762,0.025035591683448863,0.10605174194627762,0.025506329113924052,2,10,0,0
0.6251861570169281,0.02623689155356201,0.6251861570169281,0.025506329113924052,2,10,0,0
0.7536466628785372,0.026797415482493533,0.7536466628785372,0.025506329113924052,2,10,0,0
0.17860127824843708,0.025100944356303723,0.17860127824843708,0.025506329113924052,2,10,0,0
0.5035598430949759,0.025802444669550118,0.5035598430949759,0.025506329113924052,2,10,0,0
0.35981168517796525,0.02540969762275509,0.35981168517796525,0.025506329113924052,2,10,0,0
0.35316869300959947,0.02539470925861427,0.35316869300959947,0.025506329113924052,2,10,0,0
0.6542278645529916,0.02635447499606825,0.6542278645529916,0.025506329113924052,2,10,0,0
0.2005693696680632,0.02512730402547166,0.2005693696680632,0.025506329113924052,2,10,0,0
0.8087134618138263,0.027069675516831974,0.8087134618138263,0.025506329113924052,2,10,0,0
0.14862832614279253,0.025069906263708888,0.14862832614279253,0.025506329113924052,2,10,0,0
0.17635304423393486,0.025098418975349927,0.17635304423393486,0.025506329113924052,2,10,0,0
0.12388224465531542,0.0250485658561419,0.12388224465531542,0.025506329113924052,2,10,0,0
0.49363909722689336,0.025771137842756274,0.49363909722689336,0.025506329113924052,2,10,0,0
0.06692658262071803,0.025014174580573697,0.06692658262071803,0.025506329113924052,2,10,0,0
0.36854080577485687,0.025429817485826522,0.36854080577485687,0.025506329113924052,2,10,0,0
0.5409013491491349,0.02592586794149163,0.5409013491491349,0.025506329113924052,2,10,0,0
0.15848424050001933,0.02507948498255338,0.15848424050001933,0.025506329113924052,2,10,0,0
0.354865403231827,0.025398510931680024,0.354865403231827,0.025506329113924052,2,10,0,0
0.44123631980684236,0.025616105980749006,0.44123631980684236,0.025506329113924052,2,10,0,0
0.69258978540956,0.02651797661662551,0.69258978540956,0.025506329113924052,2,10,0,0
0.19737683198427677,0.025123283587987814,0.19737683198427677,0.025506329113924052,2,10,0,0
0.22564360136134265,0.025161123527959864,0.22564360136134265,0.025506329113924052,2,10,0,0
0.6685209758306171,0.026414304731409877,0.6685209758306171,0.025506329113924052,2,10,0,0
0.5108342625265508,0.025825796341047612,0.5108342625265508,0.025506329113924052,2,10,0,0
0.6300231504029418,0.02625610496849256,0.6300231504029418,0.025506329113924052,2,10,0,0
-0.04964800050924627,0.025007800392261286,-0.04964800050924627,0.025506329113924052,2,10,0,0
-0.0458787748764365,0.025006660955646087,-0.0458787748764365,0.025506329113924052,2,10,0,0
0.30218552579195124,0.025288974974677716,0.30218552579195124,0.025506329113924052,2,10,0,0
0.42587092943121946,0.025573943191565224,0.42587092943121946,0.025506329113924052,2,10,0,0
0.23997037112654532,0.025182233477907,0.23997037112654532,0.025506329113924052,2,10,0,0
1.2661888346702175,0.030073525838745327,1.2661888346702175,0.025506329113924052,2,10,0,0
