delta,m,n,N,int_prop,sigma_total,sigma_int,sigma_block,sigma_error,msb,msab,d1,v1,d2,v2
0.4,2,10,40,0.1,4.475,0.4475,1.9074999999999995,2.12,40.26999999999999,6.595,0.16093632031313357,0.1489334692275539,0.1890877836988262,0.10047044986768598
0.4,4,10,80,0.1,4.475,0.4475,1.9074999999999995,2.12,40.26999999999999,6.595,0.17331156867753483,0.07461618451350814,0.1890877836988262,0.05022919352528291
0.4,2,10,40,0.3,4.475,1.3424999999999998,1.0124999999999997,2.12,22.369999999999994,15.544999999999998,0.1549796752002908,0.3482061102822249,0.1890877836988262,0.10047044986768598
0.4,4,10,80,0.3,4.475,1.3424999999999998,1.0124999999999997,2.12,22.369999999999994,15.544999999999998,0.16518649319503376,0.17417738515544223,0.1890877836988262,0.05022919352528291
0.4,2,50,200,0.1,4.475,0.4475,1.9074999999999995,2.12,192.86999999999995,24.495,0.1598073529248921,0.11070795809724165,0.1890877836988262,0.020090288358444782
0.4,4,50,400,0.1,4.475,0.4475,1.9074999999999995,2.12,192.86999999999995,24.495,0.17255031542834687,0.055516785501757565,0.1890877836988262,0.01004491732405042
0.4,2,50,200,0.3,4.475,1.3424999999999998,1.0124999999999997,2.12,103.36999999999998,69.24499999999999,0.15405396093565835,0.31003613439340505,0.1890877836988262,0.020090288358444782
0.4,4,50,400,0.3,4.475,1.3424999999999998,1.0124999999999997,2.12,103.36999999999998,69.24499999999999,0.1645556802769106,0.15509611692564007,0.1890877836988262,0.01004491732405042
