d2,v2,d1,v1,m,n,var_block,var_inter,delta
0.9568628922520461,0.006329113924050633,0.9568628922520461,0.027879087793368958,2,10,0,0,0.9568628922520461
0.4358585849161152,0.006329113924050633,0.4358585849161152,0.025597374516284997,2,10,0,0,0.4358585849161152
0.6274725409468931,0.006329113924050633,0.6274725409468931,0.026238069239181403,2,10,0,0,0.6274725409468931
0.15467569718283686,0.006329113924050633,0.15467569718283686,0.025075231487220448,2,10,0,0,0.15467569718283686
-0.1101209015044744,0.006329113924050633,-0.1101209015044744,0.025038132475421825,2,10,0,0,-0.1101209015044744
0.5063177080666458,0.006329113924050633,0.5063177080666458,0.025806123749715436,2,10,0,0,0.5063177080666458
0.4742238031318633,0.006329113924050633,0.4742238031318633,0.025707167317471663,2,10,0,0,0.4742238031318633
0.1734726492236189,0.006329113924050633,0.1734726492236189,0.02509462753013339,2,10,0,0,0.1734726492236189
0.7796259825699862,0.006329113924050633,0.7796259825699862,0.02691129661940434,2,10,0,0,0.7796259825699862
0.08015785489888112,0.006329113924050633,0.08015785489888112,0.025020204478994,2,10,0,0,0.08015785489888112
0.5851007080739966,0.006329113924050633,0.5851007080739966,0.026076506682791715,2,10,0,0,0.5851007080739966
0.7920690646883443,0.006329113924050633,0.7920690646883443,0.02697279330852616,2,10,0,0,0.7920690646883443
0.5650732793238427,0.006329113924050633,0.5650732793238427,0.02600407239080097,2,10,0,0,0.5650732793238427
0.5751006965943883,0.006329113924050633,0.5751006965943883,0.026040023781486663,2,10,0,0,0.5751006965943883
7.995315531897917e-4,0.006329113924050633,7.995315531897917e-4,0.02500000201014182,2,10,0,0,7.995315531897917e-4
0.36733282181665566,0.006329113924050633,0.36733282181665566,0.025424301876931874,2,10,0,0,0.36733282181665566
0.5105953409234238,0.006329113924050633,0.5105953409234238,0.025819802386258514,2,10,0,0,0.5105953409234238
-0.38274740484768155,0.006329113924050633,-0.38274740484768155,0.025460659458000898,2,10,0,0,-0.38274740484768155
0.08331059869619342,0.006329113924050633,0.08331059869619342,0.02502182508751109,2,10,0,0,0.08331059869619342
0.5632563326532412,0.006329113924050633,0.5632563326532412,0.025997625747376518,2,10,0,0,0.5632563326532412
0.9112577792435772,0.006329113924050633,0.9112577792435772,0.027611187033656746,2,10,0,0,0.9112577792435772
0.525107062633666,0.006329113924050633,0.525107062633666,0.025867064093790217,2,10,0,0,0.525107062633666
-0.05278540794738734,0.006329113924050633,-0.05278540794738734,0.02500876159647635,2,10,0,0,-0.05278540794738734
0.05764215955952007,0.006329113924050633,0.05764215955952007,0.02501044806749146,2,10,0,0,0.05764215955952007
0.49479479330370885,0.006329113924050633,0.49479479330370885,0.025769849309694608,2,10,0,0,0.49479479330370885
0.2611993716850898,0.006329113924050633,0.2611993716850898,0.025214535782480445,2,10,0,0,0.2611993716850898
-0.012949637439913786,0.006329113924050633,-0.012949637439913786,0.02500052731569946,2,10,0,0,-0.012949637439913786
0.2936602405085644,0.006329113924050633,0.2936602405085644,0.025271172586250622,2,10,0,0,0.2936602405085644
0.08322789488391369,0.006329113924050633,0.08322789488391369,0.025021781776767123,2,10,0,0,0.08322789488391369
0.3659853575387013,0.006329113924050633,0.3659853575387013,0.025421194705644905,2,10,0,0,0.3659853575387013
0.43193542934127893,0.006329113924050633,0.43193542934127893,0.02558666899883586,2,10,0,0,0.43193542934127893
0.07652788925451098,0.006329113924050633,0.07652788925451098,0.0250184159850164,2,10,0,0,0.07652788925451098
0.133237311245132,0.006329113924050633,0.133237311245132,0.025055822232693672,2,10,0,0,0.133237311245132
0.04505499991890549,0.006329113924050633,0.04505499991890549,0.025006383244347417,2,10,0,0,0.04505499991890549
0.6259570232540652,0.006329113924050633,0.6259570232540652,0.02623209591028864,2,10,0,0,0.6259570232540652
0.1216486950939365,0.006329113924050633,0.1216486950939365,0.025046534000717737,2,10,0,0,0.1216486950939365
0.2114744884545935,0.006329113924050633,0.2114744884545935,0.025140627886255002,2,10,0,0,0.2114744884545935
0.9566307115144388,0.006329113924050633,0.9566307115144388,0.02787769075387321,2,10,0,0,0.9566307115144388
0.13931983324619063,0.006329113924050633,0.13931983324619063,0.025061035340929183,2,10,0,0,0.13931983324619063
0.5056563881152731,0.006329113924050633,0.5056563881152731,0.0258040193099295,2,10,0,0,0.5056563881152731
0.938090966272081,0.006329113924050633,0.938090966272081,0.02776723084796511,2,10,0,0,0.938090966272081
0.3819967038301775,0.006329113924050633,0.3819967038301775,0.025458854202706455,2,10,0,0,0.3819967038301775
0.46970791838972026,0.006329113924050633,0.46970791838972026,0.02569376317877517,2,10,0,0,0.46970791838972026
0.09179988900854885,0.006329113924050633,0.09179988900854885,0.025026499629078897,2,10,0,0,0.09179988900854885
0.9349943687432402,0.006329113924050633,0.9349943687432402,0.02774899198294157,2,10,0,0,0.9349943687432402
0.583678176245061,0.006329113924050633,0.583678176245061,0.02607127851120989,2,10,0,0,0.583678176245061
0.8733916246935474,0.006329113924050633,0.8733916246935474,0.027398686709327814,2,10,0,0,0.8733916246935474
1.3009128332465907,0.006329113924050633,1.3009128332465907,0.030321718261372185,2,10,0,0,1.3009128332465907
0.07379543318142869,0.006329113924050633,0.07379543318142869,0.025017124364193927,2,10,0,0,0.07379543318142869
0.6131911749550815,0.006329113924050633,0.6131911749550815,0.026182353318292714,2,10,0,0,0.6131911749550815
0.16201290257180168,0.006329113924050633,0.16201290257180168,0.025082538142007678,2,10,0,0,0.16201290257180168
0.025197872235764307,0.006329113924050633,0.025197872235764307,0.025001996563934828,2,10,0,0,0.025197872235764307
0.3196312357738615,0.006329113924050633,0.3196312357738615,0.025321257969887143,2,10,0,0,0.3196312357738615
0.6111510136912146,0.006329113924050633,0.6111510136912146,0.026174498741410042,2,10,0,0,0.6111510136912146
0.7247756943547059,0.006329113924050633,0.7247756943547059,0.02665182001520176,2,10,0,0,0.7247756943547059
-0.03790835007862961,0.006329113924050633,-0.03790835007862961,0.025004518822141733,2,10,0,0,-0.03790835007862961
1.0205513746629908,0.006329113924050633,1.0205513746629908,0.028275104991332796,2,10,0,0,1.0205513746629908
0.3386723351922523,0.006329113924050633,0.3386723351922523,0.025360674075630068,2,10,0,0,0.3386723351922523
0.08655439379260588,0.006329113924050633,0.08655439379260588,0.025023557745239434,2,10,0,0,0.08655439379260588
0.22775423989807733,0.006329113924050633,0.22775423989807733,0.0251631129431436,2,10,0,0,0.22775423989807733
0.3355423923280455,0.006329113924050633,0.3355423923280455,0.025354038323921024,2,10,0,0,0.3355423923280455
0.3733542037395731,0.006329113924050633,0.3733542037395731,0.025438326344889677,2,10,0,0,0.3733542037395731
